DT,PWR
"2012-02-29 08:00:00",0.030
"2012-02-29 08:10:00",0.066
"2012-02-29 08:20:00",0.072
"2012-02-29 08:30:00",0.060
"2012-02-29 08:40:00",0.090
"2012-02-29 08:50:00",0.102
"2012-02-29 09:00:00",0.084
"2012-02-29 09:10:00",0.132
"2012-02-29 09:20:00",0.144
"2012-02-29 09:30:00",0.138
"2012-02-29 09:40:00",0.150
"2012-02-29 09:50:00",0.174
"2012-02-29 10:00:00",0.174
"2012-02-29 10:10:00",0.162
"2012-02-29 10:20:00",0.180
"2012-02-29 10:30:00",0.258
"2012-02-29 10:40:00",0.252
"2012-02-29 10:50:00",0.240
"2012-02-29 11:00:00",0.720
"2012-02-29 11:10:00",1.296
"2012-02-29 11:20:00",1.200
"2012-02-29 11:30:00",1.272
"2012-02-29 11:40:00",1.272
"2012-02-29 11:50:00",1.386
"2012-02-29 12:00:00",1.452
"2012-02-29 12:10:00",1.422
"2012-02-29 12:20:00",1.494
"2012-02-29 12:30:00",1.476
"2012-02-29 12:40:00",1.458
"2012-02-29 12:50:00",1.440
"2012-02-29 13:00:00",1.428
"2012-02-29 13:10:00",1.380
"2012-02-29 13:20:00",1.416
"2012-02-29 13:30:00",1.380
"2012-02-29 13:40:00",1.326
"2012-02-29 13:50:00",1.290
"2012-02-29 14:00:00",1.224
"2012-02-29 14:10:00",1.188
"2012-02-29 14:20:00",1.122
"2012-02-29 14:30:00",1.080
"2012-02-29 14:40:00",1.032
"2012-02-29 14:50:00",0.948
"2012-02-29 15:00:00",0.912
"2012-02-29 15:10:00",0.828
"2012-02-29 15:20:00",0.744
"2012-02-29 15:30:00",0.678
"2012-02-29 15:40:00",0.588
"2012-02-29 15:50:00",0.492
"2012-02-29 16:00:00",0.414
"2012-02-29 16:10:00",0.342
"2012-02-29 16:20:00",0.276
"2012-02-29 16:30:00",0.216
"2012-02-29 16:40:00",0.168
"2012-02-29 16:50:00",0.126
"2012-02-29 17:00:00",0.090
"2012-02-29 17:10:00",0.042
"2012-02-29 17:20:00",0.012
"2012-03-01 07:30:00",0.036
"2012-03-01 07:40:00",0.036
"2012-03-01 07:50:00",0.054
"2012-03-01 08:00:00",0.096
"2012-03-01 08:10:00",0.126
"2012-03-01 08:20:00",0.174
"2012-03-01 08:30:00",0.216
"2012-03-01 08:40:00",0.258
"2012-03-01 08:50:00",0.288
"2012-03-01 09:00:00",0.330
"2012-03-01 09:10:00",0.294
"2012-03-01 09:20:00",0.210
"2012-03-01 09:30:00",0.234
"2012-03-01 09:40:00",0.258
"2012-03-01 09:50:00",0.282
"2012-03-01 10:00:00",0.420
"2012-03-01 10:10:00",0.456
"2012-03-01 10:20:00",0.306
"2012-03-01 10:30:00",0.420
"2012-03-01 10:40:00",0.810
"2012-03-01 10:50:00",0.864
"2012-03-01 11:00:00",0.918
"2012-03-01 11:10:00",1.068
"2012-03-01 11:20:00",1.134
"2012-03-01 11:30:00",0.768
"2012-03-01 11:40:00",0.516
"2012-03-01 11:50:00",0.708
"2012-03-01 12:00:00",0.456
"2012-03-01 12:10:00",0.846
"2012-03-01 12:20:00",1.044
"2012-03-01 12:30:00",1.032
"2012-03-01 12:40:00",0.840
"2012-03-01 12:50:00",0.270
"2012-03-01 13:00:00",0.390
"2012-03-01 13:10:00",0.372
"2012-03-01 13:20:00",0.300
"2012-03-01 13:30:00",0.264
"2012-03-01 13:40:00",0.240
"2012-03-01 13:50:00",0.402
"2012-03-01 14:00:00",0.384
"2012-03-01 14:10:00",0.504
"2012-03-01 14:20:00",0.444
"2012-03-01 14:30:00",0.474
"2012-03-01 14:40:00",0.372
"2012-03-01 14:50:00",0.342
"2012-03-01 15:00:00",0.300
"2012-03-01 15:10:00",0.174
"2012-03-01 15:20:00",0.138
"2012-03-01 15:30:00",0.120
"2012-03-01 15:40:00",0.090
"2012-03-01 15:50:00",0.060
"2012-03-01 16:00:00",0.048
"2012-03-01 16:10:00",0.036
"2012-03-01 16:20:00",0.024
"2012-03-01 16:30:00",0.018
"2012-03-02 07:40:00",0.048
"2012-03-02 07:50:00",0.036
"2012-03-02 08:00:00",0.006
"2012-03-02 09:10:00",0.024
"2012-03-02 09:20:00",0.042
"2012-03-02 09:30:00",0.132
"2012-03-02 09:40:00",0.102
"2012-03-02 09:50:00",0.198
